09:39:40: PROCESSO: ../xls/penta
09:40:29: PROCESSO: ../xls/penta
09:40:30: 370.00 €
09:40:30: 375.00 €
09:40:30: 590.00 €
09:40:30: 595.00 €
09:40:30: 910.00 €
09:40:30: 920.00 €
09:40:30: 870.00 €
09:40:30: 870.00 €
09:40:30: 870.00 €
09:40:30: 870.00 €
09:40:30: 870.00 €
09:40:30: 870.00 €
09:40:30: 715.00 €
09:40:30: 715.00 €
09:40:30: 715.00 €
09:40:30: 1,355.00 €
09:40:30: 1,355.00 €
09:40:30: 1,355.00 €
09:40:30: 1,355.00 €
09:40:30: 1,355.00 €
09:40:30: 1,355.00 €
09:40:30: 870.00 €
09:40:30: 870.00 €
09:40:30: 870.00 €
09:40:30: 870.00 €
09:40:30: 870.00 €
09:40:30: 870.00 €
09:40:30: 715.00 €
09:40:30: 715.00 €
09:40:30: 715.00 €
09:40:30: 1,355.00 €
09:40:30: 1,355.00 €
09:40:30: 1,355.00 €
09:40:30: 1,355.00 €
09:40:30: 1,355.00 €
09:40:30: 1,355.00 €
09:40:30: 790.00 €
09:40:30: 790.00 €
09:40:30: 790.00 €
09:40:30: 790.00 €
09:40:30: 790.00 €
09:40:30: 790.00 €
09:40:30: 670.00 €
09:40:30: 670.00 €
09:40:30: 670.00 €
09:40:30: 1,205.00 €
09:40:30: 1,205.00 €
09:40:30: 1,205.00 €
09:40:30: 1,205.00 €
09:40:30: 1,205.00 €
09:40:30: 1,205.00 €
09:40:30: 790.00 €
09:40:30: 790.00 €
09:40:30: 790.00 €
09:40:30: 790.00 €
09:40:30: 790.00 €
09:40:30: 790.00 €
09:40:30: 670.00 €
09:40:30: 670.00 €
09:40:30: 670.00 €
09:40:30: 1,205.00 €
09:40:30: 1,205.00 €
09:40:30: 1,205.00 €
09:40:30: 1,205.00 €
09:40:30: 1,205.00 €
09:40:30: 1,205.00 €
09:40:30: 715.00 €
09:40:30: 715.00 €
09:40:30: 715.00 €
09:40:30: 715.00 €
09:40:30: 715.00 €
09:40:30: 715.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 1,010.00 €
09:40:30: 1,010.00 €
09:40:30: 1,010.00 €
09:40:30: 1,010.00 €
09:40:30: 1,010.00 €
09:40:30: 1,010.00 €
09:40:30: 715.00 €
09:40:30: 715.00 €
09:40:30: 715.00 €
09:40:30: 715.00 €
09:40:30: 715.00 €
09:40:30: 715.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 1,010.00 €
09:40:30: 1,010.00 €
09:40:30: 1,010.00 €
09:40:30: 1,010.00 €
09:40:30: 1,010.00 €
09:40:30: 1,010.00 €
09:40:30: 390.00 €
09:40:30: 320.00 €
09:40:30: 320.00 €
09:40:30: 390.00 €
09:40:30: 320.00 €
09:40:30: 320.00 €
09:40:30: 1,380.00 €
09:40:30: 1,380.00 €
09:40:30: 695.00 €
09:40:30: 695.00 €
09:40:30: 815.00 €
09:40:30: 815.00 €
09:40:30: 540.00 €
09:40:30: 540.00 €
09:40:30: 655.00 €
09:40:30: 655.00 €
09:40:30: 400.00 €
09:40:30: 400.00 €
09:40:30: 475.00 €
09:40:30: 475.00 €
09:40:30: 875.00 €
09:40:30: 875.00 €
09:40:30: 985.00 €
09:40:30: 985.00 €
09:40:30: 955.00 €
09:40:30: 955.00 €
09:40:30: 1,050.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 680.00 €
09:40:30: 680.00 €
09:40:30: 460.00 €
09:40:30: 460.00 €
09:40:30: 590.00 €
09:40:30: 590.00 €
09:40:30: 365.00 €
09:40:30: 365.00 €
09:40:30: 435.00 €
09:40:30: 435.00 €
09:40:30: 435.00 €
09:40:30: 435.00 €
09:40:30: 515.00 €
09:40:30: 515.00 €
09:40:30: 325.00 €
09:40:30: 325.00 €
09:40:30: 395.00 €
09:40:30: 395.00 €
09:40:30: 485.00 €
09:40:30: 485.00 €
09:40:30: 485.00 €
09:40:30: 485.00 €
09:40:30: 485.00 €
09:40:30: 485.00 €
09:40:30: 325.00 €
09:40:30: 420.00 €
09:40:30: 420.00 €
09:40:30: 420.00 €
09:40:30: 420.00 €
09:40:30: 420.00 €
09:40:30: 420.00 €
09:40:30: 270.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 395.00 €
09:40:30: 600.00 €
09:40:30: 600.00 €
09:40:30: 600.00 €
09:40:30: 600.00 €
09:40:30: 600.00 €
09:40:30: 600.00 €
09:40:30: 430.00 €
09:40:30: 525.00 €
09:40:30: 555.00 €
09:40:30: 525.00 €
09:40:30: 555.00 €
09:40:30: 435.00 €
09:40:30: 460.00 €
09:40:30: 435.00 €
09:40:30: 460.00 €
09:40:30: 875.00 €
09:40:30: 875.00 €
09:40:30: 875.00 €
09:40:30: 1,025.00 €
09:40:30: 1,025.00 €
09:40:30: 1,025.00 €
09:40:30: 875.00 €
09:40:30: 875.00 €
09:40:30: 875.00 €
09:40:30: 1,025.00 €
09:40:30: 1,025.00 €
09:40:30: 1,025.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 1,815.00 €
09:40:30: 1,870.00 €
09:40:30: 1,430.00 €
09:40:30: 1,540.00 €
09:40:30: 6,160.00 €
09:40:30: 3,520.00 €
09:40:30: 1,320.00 €
09:40:30: 305.00 €
09:40:30: 305.00 €
09:40:30: 305.00 €
09:40:30: 305.00 €
09:40:30: 265.00 €
09:40:30: 1,095.00 €
09:40:30: 1,095.00 €
09:40:30: 1,095.00 €
09:40:30: 1,095.00 €
09:40:30: 1,095.00 €
09:40:30: 1,095.00 €
09:40:30: 1,095.00 €
09:40:30: 1,270.00 €
09:40:30: 875.00 €
09:40:30: 560.00 €
09:40:30: 560.00 €
09:40:30: 560.00 €
09:40:30: 560.00 €
09:40:30: 560.00 €
09:40:30: 560.00 €
09:40:30: 560.00 €
09:40:30: 645.00 €
09:40:30: 435.00 €
09:40:30: 290.00 €
09:40:30: 290.00 €
09:40:30: 290.00 €
09:40:30: 290.00 €
09:40:30: 290.00 €
09:40:30: 290.00 €
09:40:30: 290.00 €
09:40:30: 345.00 €
09:40:30: 215.00 €
09:40:30: 1,525.00 €
09:40:30: 1,525.00 €
09:40:30: 1,525.00 €
09:40:30: 1,525.00 €
09:40:30: 1,525.00 €
09:40:30: 1,525.00 €
09:40:30: 1,265.00 €
09:40:30: 1,595.00 €
09:40:30: 1,645.00 €
09:40:30: 930.00 €
09:40:30: 930.00 €
09:40:30: 930.00 €
09:40:30: 930.00 €
09:40:30: 930.00 €
09:40:30: 930.00 €
09:40:30: 930.00 €
09:40:30: 1,045.00 €
09:40:30: 770.00 €
09:40:30: 510.00 €
09:40:30: 510.00 €
09:40:30: 510.00 €
09:40:30: 510.00 €
09:40:30: 510.00 €
09:40:30: 510.00 €
09:40:30: 510.00 €
09:40:30: 590.00 €
09:40:30: 390.00 €
09:40:30: 255.00 €
09:40:30: 255.00 €
09:40:30: 255.00 €
09:40:30: 255.00 €
09:40:30: 255.00 €
09:40:30: 255.00 €
09:40:30: 255.00 €
09:40:30: 300.00 €
09:40:30: 210.00 €
09:40:30: 605.00 €
09:40:30: 605.00 €
09:40:30: 605.00 €
09:40:30: 605.00 €
09:40:30: 605.00 €
09:40:30: 605.00 €
09:40:30: 605.00 €
09:40:30: 640.00 €
09:40:30: 495.00 €
09:40:30: 605.00 €
09:40:30: 605.00 €
09:40:30: 605.00 €
09:40:30: 605.00 €
09:40:30: 605.00 €
09:40:30: 605.00 €
09:40:30: 605.00 €
09:40:30: 640.00 €
09:40:30: 495.00 €
09:40:30: 605.00 €
09:40:30: 605.00 €
09:40:30: 605.00 €
09:40:30: 605.00 €
09:40:30: 605.00 €
09:40:30: 605.00 €
09:40:30: 605.00 €
09:40:30: 640.00 €
09:40:30: 495.00 €
09:40:30: 605.00 €
09:40:30: 605.00 €
09:40:30: 605.00 €
09:40:30: 605.00 €
09:40:30: 605.00 €
09:40:30: 605.00 €
09:40:30: 605.00 €
09:40:30: 640.00 €
09:40:30: 495.00 €
09:40:30: 415.00 €
